,file,content,topic,persons,institutions,abstract
10,11.txt,"Datové schránky budou pro běžné občany dobrovolné, nová povinnost zůstala jen subjektům vedeným v registru osob
V roce 2023 čeká datové schránky jedna zásadní změna, kterou Ministerstvu vnitra ukládá zákon. Od ledna začne resort vnitra postupně zřizovat datové schránky všem subjektům vedeným v registru osob, tedy živnostníkům, spolkům či nadacím. Běžných občanů se povinnost nakonec netýká. 

V prvních třech měsících nového roku zřídí Ministerstvo vnitra (MV) na základě zákona o elektronické konverzi dokumentů přibližně 2,2 milionu nových datových schránek. Cca dva miliony z nich budou tvořit OSVČ, které mají IČO (včetně OSVČ s pozastavenou živností), dalších cca 200 tisíc datových schránek získají právnické osoby neobchodního charakteru. Jde např. o spolky, společenství vlastníků bytových jednotek nebo nadace. Neznamená to však, že tyto subjekty budou mít datovou schránku hned od 1. ledna. K postupnému zřizování dojde od 1. ledna do 31. března 2023, kdy budou noví uživatelé postupně dostávat své přihlašovací údaje. Datovou schránku tedy uživatelům ze zákona zřídí MV, nebude nutné, aby si ji zřizovali sami.

Povinné datové schránky se nakonec nebudou zřizovat běžným občanům, kteří se státem komunikují online přes elektronickou identitu, ale jen subjektům vedeným v registru osob. MV totiž prosadilo, aby pro nepodnikající občany zůstalo zřízení datové schránky dobrovolné. „Přes datovou schránku vyřešíte 96 % agend se státem a obcemi online. I proto doporučuji, aby si lidé datovku zřizovali. Běžné občany nebudeme do ničeho nutit a zřízení zůstane dobrovolné. O výhodách datovek ale začneme občany ještě více přesvědčovat,“ uvedl ministr vnitra Vít Rakušan.

Přístupové údaje zašle MV do vlastních rukou nebo do datové schránky fyzické osoby. Datové schránky budou zpřístupněny po prvním přihlášení nebo automaticky po uplynutí lhůty 15 dnů po zřízení v případě, že se uživatel během této doby do nově zřízené schránky podnikající nebo právnické osoby sám nepřihlásí. Uživatelé budou od té doby dostávat veškerou komunikaci od státu do datové schránky, sami však budou mít stále na výběr, zda státu posílat dokumenty datovou zprávou či klasickou listinnou formou. Odpovědi na nejčastější dotazy k datovým schránkám najdete zde.

Celkem je v tuto chvíli zřízeno přes 1,7 mil. datových schránek, počet občanů, kteří si jen letos dobrovolně zřídili datovou schránku fyzické osoby, je 177 tisíc.",Datové schránky,['Vít Rakušan'],['Ministerstvo vnitra'],"Do roku 2023 bude Ministerstvo vnitra postupně zřizovat datové schránky všem subjektům vedeným v registru osob. Běžných občanů se povinnost nakonec netýká. Do konce března bude zřízeno přes 2,2 milionu datových schránek. Od té doby budou uživatelé dostávat veškerou komunikaci od státu do datové schránky."
11,12.txt,"Kontroly na hranicích se Slovenskem se prodlouží o 30 dnů, jejich intenzita se však zmírní
Důvody pro kontroly na hranicích se Slovenskem dle vlády trvají. Policisté, vojáci a celníci proto budou v kontrolách na pozemní hranici se Slovenskem pokračovat minimálně do 25. ledna 2023. Vzhledem ke zlepšení situace však budou kontroly mírnější a flexibilnější. 

V souladu s platnou legislativou EU vláda dnes, 21. prosince 2022, rozhodla prodloužit kontroly na hranicích se Slovenskem o dalších 30 dnů, tedy do 25. ledna. Vzhledem ke zlepšení situace na vnitřních hranicích se Slovenskem nicméně vláda na návrh ministra vnitra Víta Rakušana rozhodla intenzitu kontrol zmírnit a snížit počty policistů, celníků a vojáků, kteří se na nich podílejí. „Počet zachycených nelegálních migrantů se snižuje, a přestože situace na hranicích ještě není ideální, došlo prokazatelně k výraznému zlepšení. Proto budou kontroly od 27. prosince 2022 pouze namátkové,“ vysvětluje ministr vnitra Vít Rakušan.

Vláda také o 30 dní prodlužila dobu, po kterou je možné nasadit vojáky v činné službě a příslušníky Celní správy, kteří se na kontrolách podílejí. Vzhledem k nové, flexibilnější podobě kontrol však do 27. prosince 2022 dojde ke snížení jejich počtu. Nadále bude možné místo 80 povolat nejvýše 40 vojáků, u celníků se počet snižuje z 30 na 20.

Od zavedení opatření zkontrolovali policisté do dnešního rána 2 538 643 lidí. Při nelegální migraci zjistili 9301 osob a vstup neumožnili 2298 z nich. V rámci opatření zadrželi 134 osob podezřelých z převaděčství.",Kontroly na hranicích se Slovenskem,['Vít Rakušan'],"['vláda', 'Policie', 'Celní správa', 'Armáda']","Vláda dnes rozhodla prodloužit kontroly na hranicích se Slovenskem o dalších 30 dnů. Intenzita kontrol se však zmírní a sníží se počty policistů, celníků a vojáků, kteří se na nich podílejí."
12,13.txt,"Vízová reciprocita a válka na Ukrajině. Témata ministerského jednání EU-USA
Válka na Ukrajině, boj proti terorismu, ale také vízová reciprocita s některými zeměmi EU. To byla hlavní témata ministerského setkání v oblasti justice a vnitřních věcí mezi Evropskou unií a Spojenými státy, které se 15. prosince 2022 uskutečnilo ve Washingtonu. Ministr vnitra Vít Rakušan se schůzky zúčastnil jako předseda Rady EU v rámci českého předsednictví. 

Jednou z projednávaných otázek bylo dosažení plné vízové reciprocity mezi EU a USA. Zatímco občané USA mohou do EU cestovat bez víz, Spojené státy neposkytují stejnou výhodu Bulharsku, Rumunsku a Kypru. „Před rokem se k bezvízovému programu připojilo Chorvatsko, což je důležitý krok vpřed. Doufám, že Bulharsko, Kypr a Rumunsko se k němu brzy přidá také,“ sdělil Vít Rakušan.

Ministři také diskutovali o dalších tradičních oblastech transatlantické spolupráce. Těmi jsou sdílení informací v boji proti terorismu a přeshraniční spolupráce v trestních věcech a v potírání organizovaného zločinu. „Důležitým úspěchem je letošní spuštění pilotního projektu systematického sdílení informací. V jeho rámci bude americké Ministerstvo vnitřní bezpečnosti s Europolem sdílet data týkající se případů zamítnutí povolení ESTA z teroristických důvodů,“ sdělil ministr. Mezi důležitá témata v této oblasti patří také sdílení dat jmenné evidence cestujících (PNR).

Zástupci EU i Spojených států také jednoznačně odsoudili ruskou invazi na Ukrajině a dohodli se na zvýšené spolupráci v oblasti výzev spojených s válkou. To se týká především podpory ukrajinských uprchlíků, bezpečnostních hrozeb, a sdílení informací při shromažďování důkazů o válečných zločinech a zločinech proti lidskosti.

Schůzky EU-USA na ministerské úrovni ve věcech justice a vnitřních věcí se pravidelně konají dvakrát ročně – na jaře tradičně v hlavním městě předsednického státu v Radě EU a v zimě ve Washingtonu. Příští ministerské zasedání EU – USA se bude konat v první polovině 2023 za švédského předsednictví ve Stockholmu.",Vízová reciprocita a válka na Ukrajině,['Vít Rakušan'],"['Evropská unie', 'Spojené státy']","Ministři Evropské unie a Spojených států se 15. prosince 2022 sešli ve Washingtonu, aby diskutovali o vízové reciprocitě, boji proti terorismu a válce na Ukrajině. Jednání se zaměřilo na dosažení plné vízové reciprocity mezi EU a USA, sdílení informací v boji proti terorismu a podporu ukrajinských uprchlíků."
13,14.txt,"Ve španělském Cádizu se uskutečnila ministerská konference o migraci
Ve dnech 13. – 14. prosince 2022 se uskutečnilo ve španělském Cádizu 6. ministerské jednání euro-afrického dialogu k migraci a rozvoji, tzv. Rabatského procesu. Delegaci ČR na jednání vedl náměstek ministra vnitra Radek Kaňa. 

Dvoudenní jednání za účasti 60 delegací se nejprve věnovalo zhodnocení spolupráce a řešení výzev podél západní a centrální migrační středomořské trasy, které zásadně ovlivňují toky nelegální migrace do EU. „Nelegální migrace představuje dlouhodobě výzvu pro EU. Výzvu, kterou musíme vyřešit i skrze posílenou spolupráci se zeměmi, odkud tyto osoby pocházejí,“ zhodnotil náměstek Kaňa.
 
Diskuse se věnovala především pokroku v již ustanovených prioritních oblastech spolupráce, kterými jsou např. řešení příčin nelegální migrace a vysídlení, spolupráce na návratech a readmisi, boj proti pašerákům a obchodníkům s lidmi a ochrana zranitelných osob. Výstupem jednání se stala společná ministerská deklarace a akční plán, které jako nezávazné dokumenty budou formovat spolupráci v rámci dialogu na další roky.",Migration and Development Conference in Cadiz,['Radek Kaňa'],['EU'],"The 6th Ministerial Meeting of the Euro-African Dialogue on Migration and Development, the so-called Rabat Process, was held in Cadiz, Spain on 13-14 December 2022. The Czech Republic was represented by Deputy Minister of the Interior Radek Kaňa. The two-day meeting discussed the progress in the established priority areas of cooperation, such as addressing the causes of illegal migration and displacement, cooperation on returns and readmissions, combating smugglers and traffickers, and protecting vulnerable persons."
14,15.txt,"UNICEF bude spolupracovat s Ministerstvem vnitra na podpoře uprchlíků z Ukrajiny
Dnešním dnem započala unikátní spolupráce mezi Ministerstvem vnitra a Dětským fondem OSN (UNICEF) v Praze. Na úspěšné zvládnutí příchodu velkého množství Ukrajinců přispěje UNICEF částkou bezmála 357 mil. Kč. 

Dnes, 9. prosince 2022, se Ministerstvo vnitra a UNICEF dohodly na spolupráci a podpoře lidí, kteří kvůli válce na Ukrajině uprchli do České republiky. UNICEF přispěje resortu vnitra částkou přes 14 mil. EUR (téměř 357 mil. Kč). Peníze jsou určené především na posílení a zefektivnění stávajících integračních kapacit.

Dohodu dnes stvrdili podpisem výměnného dopisu ministr vnitra Vít Rakušan a Yulia Oleinik, vedoucí Kanceláře UNICEF pro podporu řešení uprchlické situace v ČR. Podpis přidal i Pavel Bacík, ředitel Správy uprchlických zařízení, která je jako provozovatel Center na podporu integrace cizinců významným příjemcem finanční podpory. „Dnešek jednoznačně ukázal, že Česká republika není na uprchlickou krizi sama. Podpora, kterou obdržíme od  UNICEF, nám významně pomůže vyztužit systém, který se sice osvědčil a zafungoval, nicméně není stavěn na enormní zátěž uprchlíků, jakou v této době zažíváme,“ uvedl ministr vnitra Vít Rakušan. Česká republika poskytla ke včerejšímu dni dočasnou ochranu již celkem 466 835 Ukrajincům prchajícím před válkou.

""Naše partnerství s Ministerstvem vnitra je zásadním krokem k posílení integrovaných služeb pro uprchlíky. Prostřednictvím tohoto partnerství chce UNICEF podpořit všechny děti a jejich rodiny po celé zemi, zejména ty nejzranitelnější, a zajistit jim přístup ke klíčovým službám, jakými jsou psychiatrická a psychosociální podpora, právní a sociální poradenství, případně nasměrování na další specializované služby. Důležitým rysem tohoto partnerství je zapojení nevládního sektoru, který hraje zásadní roli při pomoci uprchlíkům, chápe a řeší jejich potřeby,"" uvedla Yulia Oleinik, vedoucí Kanceláře UNICEF pro podporu řešení uprchlické situace v ČR.

Expertní a finanční podpora od UNICEF pokrývá tři oblasti. První z nich je posílení 18 Center na podporu integrace cizinců ve všech regionech, a to i za pomoci neziskových organizací a dalších lokálních subjektů. Druhou zvažovanou oblastí je posilování kapacit nestátních neziskových organizací, které pracují s cizinci na pobočkách Ministerstva vnitra, což jim umožní rozšířit rozsah jejich práce. Poslední oblastí je posílení a vybudování dalších kapacit pro poskytování informací, například prostřednictvím telefonní linky nebo digitální komunikace.",spolupráce mezi Ministerstvem vnitra a Dětským fondem OSN (UNICEF),"['Vít Rakušan', 'Yulia Oleinik', 'Pavel Bacík']","['Ministerstvo vnitra', 'UNICEF', 'Správa uprchlických zařízení']","Dnešním dnem započala unikátní spolupráce mezi Ministerstvem vnitra a Dětským fondem OSN (UNICEF) v Praze. UNICEF přispěje resortu vnitra částkou přes 14 mil. EUR (téměř 357 mil. Kč). Podpis přidal i Pavel Bacík, ředitel Správy uprchlických zařízení."
15,16.txt,"Úspěch českého předsednictví: schengen se rozšíří o Chorvatsko
Členské státy EU dnes na jednání Rady pro vnitřní věci jednomyslně schválily rozšíření schengenu o Chorvatsko. Jedná se o mimořádný úspěch, který si Česká republika připisuje na závěr svého předsednictví v Radě EU. Ministři rovněž podpořili koncept českého předsednictví k budoucí reformě migrační politiky EU a diskutovali situaci na Ukrajině. 

Schengen se od 1. ledna 2023 rozroste na 27 států. Současných 22 členských států EU, Island, Norsko, Švýcarsko a Lichtenštejnsko nově doplní Chorvatsko. Usnesli se na tom dnes, 8. prosince 2022, ministři vnitra členských států na zasedání Rady pro vnitřní věci v Bruselu.
Rozšíření zóny volného pohybu o Chorvatsko bylo jednou z priorit českého předsednictví v radě EU. „Je to obrovský úspěch a završení naší práce během celého předsednictví. Děkuji všem, kteří se na složitém vyjednávání podíleli,“ uvedl ministr vnitra Vít Rakušan. „Rozšíření o Chorvatsko je skvělá zpráva nejen pro Chorvaty, ale i pro Čechy, kteří teď budou moci do oblíbené destinace cestovat bez zdržení na hranicích,“ dodal ministr vnitra. Ministři také debatovali o cestě kupředu vedoucí k rozšíření schengenu o Rumunsko a Bulharsko. Oběma zemím se dostalo široké podpory, ale nebyla splněna podmínka jednomyslnosti.

Na jednání Rady dnes ministři také podpořili koncept českého předsednictví k reformě migrační a azylové politiky. Tento koncept efektivně adresuje otázky odpovědnosti a solidarity. „Rovnováha mezi odpovědností a solidaritou je pravděpodobně nejcitlivější otázkou v rámci našich debat. A nám se podařilo učinit důležitý pokrok,“ podtrhl ministr Rakušan. Koncept českého předsednictví staví celkový systém na povinném, ale flexibilním systému. „Náš koncept stojí na systému bez povinných kvót, ale zároveň nabízí jistotu podpory zasaženým členským státům. To se ukázalo jako nejlepší ingredience vedoucí k úspěchu,“ dodal ministr vnitra. Tento koncept bude nyní přeložen do konkrétních legislativních textů během švédského předsednictví tak, aby celá reforma mohla být schválena do poloviny roku 2024.

Ministři se také shodli na doporučení Rady o posílení odolnosti kritické infrastruktury. Jedná se o doklad toho, že Evropská unie chce zlepšovat svou odolnost tváří v tvář zvýšeným hrozbám.

Na závěr jednání Rady došlo i k představení priorit nadcházejícího švédského předsednictví, které naváže na práci českého předsednictví a vysoko v agendě bude držet i otázku podpory Ukrajiny. „Přeji hodně úspěchů švédským kolegům. My jsme se snažili udělat maximum a pevně věřím, že agendu předáváme ve skvělém stavu,“ zhodnotil poslední jednání Rady za českého předsednictví ministr vnitra.",Úspěch českého předsednictví: schengen se rozšíří o Chorvatsko,['Vít Rakušan'],"['Rada pro vnitřní věci', 'EU']","Členské státy EU dnes na jednání Rady pro vnitřní věci jednomyslně schválily rozšíření schengenu o Chorvatsko. Jedná se o mimořádný úspěch, který si Česká republika připisuje na závěr svého předsednictví v Radě EU."
16,17.txt,"Kontroly na hranicích se Slovenskem se prodlouží o dalších 14 dní
Kontroly na česko-slovenských hranicích zavedené kvůli prudkému nárůstu nelegální migrace budou pokračovat i po 12. prosinci 2022. Na svém zasedání to dnes schválila vláda. Policistům budou s kontrolami i nadále pomáhat vojáci a příslušníci Celní správy ČR. 

Kontroly na hranicích se Slovenskem budou zavedené minimálně do půlnoci 26. prosince 2022. O jejich prodloužení o dalších 14 dní rozhodla dnes, 7. prosince 2022, vláda.„Počet záchytů nelegálních migrantů se postupně snižuje, a i proto jsme kontroly prodloužili jen o dva týdny. Před svátky situaci znovu vyhodnotíme a rozhodneme se, zda bude nutné ve stávající podobě kontrol i nadále pokračovat,“uvedl ministr vnitra Vít Rakušan s tím, že o řešení vlny nelegální migrace intenzivně jedná i na unijní úrovni, naposledy 25. listopadu 2022 při mimořádné Radě ministrů vnitra v Bruselu.

Společně s prodloužením kontrol schválila vláda i prodloužení možného nasazení vojáků v činné službě a příslušníků Celní správy, kteří policistům pomáhají. I nadále bude možné povolat nejvýše 80 vojáků, u celníků se pak maximální počet současně povolaných příslušníků sníží z 60 na 30.

Od 29. září, kdy se kontroly zavedly, zkontrolovali policisté do včerejšího dne celkem 2 140 464  lidí. Při nelegální migraci zjistili 9 187 osob a vstup neumožnili 2231 z nich. Při kontrolách byly navíc zaznamenány případy nebezpečného chování převaděčů, v některých z nich museli policisté dokonce použít k zastavení vozidel donucovací prostředky. V rámci opatření zadrželi celkem 130 osob podezřelých z převaděčství.

O prodloužení dočasného znovuzavedení ochrany vnitřních hranic informuje Česká republika Evropskou komisi a ostatní členské státy tak, jak jí ukládá Schengenský hraniční kodex. V současné době má obnovené kontroly na vnitřních hranicích dalších šest členských států schengenu – Dánsko, Francie, Německo, Norsko, Rakousko a Švédsko. Všechny státy přitom uvádí spojitost s nelegální migrací a zhoršením migrační a bezpečnostní situace na vnějších hranicích EU.",Kontroly na hranicích se Slovenskem,['Vít Rakušan'],"['vláda', 'Evropská komise', 'Schengenský hraniční kodex']",Kontroly na česko-slovenských hranicích zavedené kvůli prudkému nárůstu nelegální migrace budou pokračovat i po 12. prosinci 2022. Na svém zasedání to dnes schválila vláda. Policistům budou s kontrolami i nadále pomáhat vojáci a příslušníci Celní správy ČR.
17,18.txt,"S blížícím se koncem roku prudce roste zájem o datové schránky
S blížícím se termínem zavedení datových schránek pro živnostníky, spolky a nadace roste zájem o jejich zřízení v předstihu. Podle aktuálních statistik je v posledním čtvrtletí počet nově zřizovaných datových schránek téměř dvojnásobný oproti dlouhodobému průměru. Celkový počet zřízených datových schránek je nyní 1 709 000. 

Od ledna 2023 bude Ministerstvo vnitra dle zákona o elektronických úkonech a autorizované konverzi dokumentů postupně zřizovat datové schránky všem subjektům vedeným v registru osob. Největší část z nových držitelů schránek budou tvořit podnikající fyzické osoby, tedy živnostníci a další OSVČ. Dále datovou schránku získají všechny právnické osoby, které jsou evidované v registru osob a dosud datovou schránku nemají. Jedná se například o společenství vlastníků bytových jednotek, spolky a nadace. „Vysoký zájem o zřízení datových schránek je pro nás signálem, že se nám daří správně komunikovat se všemi cílovými skupinami. Od září jsme zaznamenali dvakrát vyšší nárůst nových datových schránek oproti běžným měsícům v tomto roce. Meziročně je ve srovnání s rokem 2021 počet nově založených datovek vyšší o stovky procent. Ta největší práce nás ale samozřejmě teprve čeká s příchodem nového roku,“ říká ministr vnitra Vít Rakušan.

Novým uživatelům, kteří dosud nemají například vlastní datovou schránku fyzické osoby, přijdou přihlašovací údaje doporučeným dopisem do vlastních rukou adresáta. Datové schránky budou zpřístupněny po prvním přihlášení nebo automaticky po uplynutí lhůty 15 dnů po zřízení v případě, že se uživatel během této doby do schránky sám nepřihlásí. Změna se týká cca 2 mil. osob se živnostenským oprávněním a cca 200 tisíc právnických osob, které ještě nemají datovou schránku.

datovky_graf.jpg

Počet uživatelů datových schránek v posledních letech prudce roste

V současnosti je celkem 1 709 000 zřízených datových schránek. „Zájem o datové schránky zvyšuje především trend online komunikace, kdy lidé preferují vyřizování svých záležitostí elektronicky. Datovky přitom dokážou v mnoha ohledech nahradit služby klasické pošty, ale také nabízí možnosti vyřizování běžné korespondence nebo přístup do Portálu občana,“ říká Roman Vrba, ředitel odboru eGovernmentu Ministerstva vnitra s tím, že počet uživatelů datových schránek bude i vzhledem k nové legislativě dále výrazně růst.

Projednávání novely zákona, která by zrušila automatické zřízení datové schránky fyzické osobě, dosud nebylo zcela ukončeno. S vysokou mírou pravděpodobnosti bude tato část týkající se nepodnikajících fyzických osob v zákoně k 1. 1. 2023 zrušena.",datové schránky,"['Vít Rakušan', 'Roman Vrba']",['Ministerstvo vnitra'],"S blížícím se termínem zavedení datových schránek pro živnostníky, spolky a nadace roste zájem o jejich zřízení v předstihu. Podle aktuálních statistik je v posledním čtvrtletí počet nově zřizovaných datových schránek téměř dvojnásobný oproti dlouhodobému průměru. Od ledna 2023 bude Ministerstvo vnitra zřizovat datové schránky všem subjektům vedeným v registru osob."
18,19.txt,"V sobotu ve 3.06 to vypukne. Národní archiv spustí unikátní web mapující manipulace a propagandu politických procesů
Zajímá vás, zda je možné uniknout propagandě a jak vlastně fungovala propaganda v 50. letech 20. století? Pak právě pro vás je unikátní internetový projekt Politické procesy, který dnes tvůrci představili v budově Národního archivu v Praze. 

Jestli si nařídíte budík a přivstanete si, nebo vůbec nepůjdete spát, necháme na vás. Každopádně v sobotu 3. prosince 2022 ve 3.06 ráno to bude přesně 70 let, kdy začaly popravy jedenácti odsouzených v procesu s Rudolfem Slánským a spol. A přesně v tuto dobu se spustí unikátní web, který vznikl díky spolupráci Národního archivu, Archivu Českého rozhlasu a Ústavu pro studium totalitních režimů.  

Na internetové stránce www.politickeprocesy.cz si budete moci vizualizovat všechny manipulace, které udělali doboví propagandisté s jednotlivými výstupy procesu. Najdete zde třeba slyšitelné střihy v rozhlasovém záznamu vysílání, ale i rozsáhlé manipulace s textem, který je na mnoha místech zpřeházen tak, aby výsledek vytvořil jiný obraz dění v soudní síni.

„Celý projekt Politické procesy je skvělou ukázkou spolupráce Národního archivu a dalších institucí. Z nahlédnutí do dobových záznamů politických procesů 50. let 20. století často mrazí, ale díky tomu můžeme konečně v plné nahotě vidět, jak pracuje propaganda, když chce manipulovat obrazem reality,“ říká Petr Vokáč, náměstek ministra vnitra pro řízení sekce legislativy a státní správy, pod kterého oblast archivnictví spadá.

Dojde i na Miladu Horákovou
Tím ale projekt Politické procesy nekončí. Tým badatelů se teď zaměří i na další případy zneužití justice během 50. let 20. století – následovat bude proces s Miladou Horákovou a spol. Projekt „Politické procesy – propaganda pod mikroskopem“ v posledních čtyřech letech ve spolupráci s Národním archivem, Ústavem pro studium totalitních režimů a Archivem Českého rozhlasu připravoval tým pod vedením dokumentaristy Marka Janáče.

Tým mimo jiné detailně prozkoumal nově nalezené audiovizuální záznamy z procesu s Rudolfem Slánským a spol. z 50. let 20. století, včetně filmových záběrů, kterým se podařilo po 70 letech „vrátil hlas“. Díky tomu lze představit dosud nepublikované informace o metodách, jakými komunistická propaganda manipulovala s obrazem procesu na veřejnosti.",Politické procesy,"['Rudolf Slánský', 'Milada Horáková']","['Národní archiv', 'Archiv Českého rozhlasu', 'Ústav pro studium totalitních režimů']","Unikátní internetový projekt Politické procesy, který dnes tvůrci představili v budově Národního archivu v Praze, mapuje manipulace a propagandu politických procesů v 50. letech 20. století. Díky tomu lze představit dosud nepublikované informace o metodách, jakými komunistická propaganda manipulovala s obrazem procesu na veřejnosti."
19,20.txt,"Dočasná ochrana pro Ukrajince půjde prodloužit o jeden rok. Vláda schválila Lex Ukrajina IV
Uprchlíci z Ukrajiny, kteří utekli do České republiky před ruskou agresí a získali zde dočasnou ochranu, dostanou možnost jejího prodloužení až do 31. března 2024. Umožňuje to balíček zákonů „Lex Ukrajina IV“, který dnes, 30. listopadu 2022, schválila vláda. Novely zákonů přináší i další změny, které ovlivní pobyt ukrajinských uprchlíků v České republice. 

Od 24. února, kdy Rusko zaútočilo na Ukrajinu a způsobilo tím masivní uprchlickou vlnu, udělilo Ministerstvo vnitra dočasnou ochranu 463 804 lidem (stav k 29. listopadu 2022). Její udělení se prokazuje tzv. vízovým štítkem, jehož platnost končí všem 31. března 2023. Vzhledem k vývoji konfliktu nyní nelze předpokládat, že by se uprchlíci mohli v blízké době vrátit zpět do svých domovů, a vláda proto schválila možnost toto pobytové oprávnění prodloužit až do konce března 2024.

„Česká republika se řadí mezi země, které Ukrajině pomohly nejvíce ze všech. Pomohli jsme převážně ženám a dětem, kterým jsme nabídli bezpečný úkryt do doby, než Ukrajinci vytlačí Putinovu armádu zpátky do Ruska,“ řekl ministr vnitra Vít Rakušan.„Vše však nasvědčuje tomu, že to bude ještě nějaký čas trvat, a proto je nutné dočasnou ochranu prodloužit,“dodal ministr s tím, že je hrdý na všechny české občany, kteří se na pomoci Ukrajině jakkoliv podíleli.

Vzhledem k množství osob, jichž se tato změna týká, se celý proces prodloužení dočasné ochrany rozloží do několika etap. Prodloužení totiž spočívá ve vylepení tzv. vízového štítku, při kterém je nutná osobní přítomnost na pracovišti Ministerstva vnitra. Proto se Ukrajinci, kteří mají zájem nadále pobývat v České republice, budou muset do 31. března 2023 nejprve elektronicky zaregistrovat. Tato registrace jim pak zajistí přidělení termínu k osobní návštěvě konkrétního pracoviště, kde jim bude vyznačen nový vízový štítek. K tomu se budou muset dostavit nejpozději do 30. září 2023. Pokud se uprchlíci nezaregistrují, případně se v určeném termínu nedostaví k vyznačení štítku, dočasná ochrana jim zanikne.
S ohledem na současný vývoj konfliktu na Ukrajině a nadcházejícímu zimnímu období však nelze vyloučit příchod další vlny uprchlíků, která může naplno zaměstnat kapacity Ministerstva vnitra a Policie ČR. Návrh proto počítá s možností, že vláda bude moci případně rozhodnout, že by prodloužení dočasné ochrany spočívalo pouze v elektronické registraci.

Kromě prodloužení dočasné ochrany dochází i k novelizaci dalších zákonů ovlivňujících pobyt ukrajinských uprchlíků v České republice. Na základě podnětu Ministerstva zdravotnictví se zjednodušují pravidla pro získání kvalifikace v oboru psychologie, neboť v souvislosti s příchodem osob zasažených válkou výrazně vzrostla poptávka po těchto službách. Upravují se také pravidla pro zápisy ukrajinských dětí k předškolnímu vzdělávání a povinné školní docházce pro nadcházející školní rok či se zjednodušují pravidla pro vyřazení dítěte z mateřské školy ve chvíli, kdy se vrací s rodiči zpátky na Ukrajinu.",Dočasná ochrana pro Ukrajince,['Vít Rakušan'],"['Ministerstvo vnitra', 'Policie ČR', 'Ministerstvo zdravotnictví']","Vláda schválila Lex Ukrajina IV, který umožňuje prodloužení dočasné ochrany pro Ukrajince až do 31. března 2024. Balíček zákonů také zjednodušuje pravidla pro získání kvalifikace v oboru psychologie, zápisy dětí do předškolního vzdělávání a vyřazení dětí z mateřské školy."
